lp;data;n1;n2;n3;n4;n5;n6
6876.;29.04.2023;7;13;17;29;30;39
6877.;02.05.2023;2;4;26;27;36;45
6878.;04.05.2023;9;11;14;15;33;49
6879.;06.05.2023;1;16;27;31;38;42
6880.;09.05.2023;8;16;27;28;38;49
6881.;11.05.2023;2;3;9;27;38;46
6882.;13.05.2023;2;7;8;32;41;45
6883.;16.05.2023;4;16;18;33;34;46
6884.;18.05.2023;5;7;20;29;45;48
6885.;20.05.2023;7;8;12;16;40;48
6886.;23.05.2023;1;6;11;12;28;35
6887.;25.05.2023;2;7;11;15;41;46
6888.;27.05.2023;24;31;33;34;44;49
6889.;30.05.2023;8;19;32;37;44;47
6890.;01.06.2023;5;6;17;23;29;49
6891.;03.06.2023;2;15;17;31;34;35
6892.;06.06.2023;4;6;18;30;47;48
6893.;08.06.2023;6;13;21;36;45;47
6894.;10.06.2023;6;29;31;40;43;48
6895.;13.06.2023;9;21;37;38;40;47
